ArticleEntity,Ship_3,Country_3,Description-3
Q52457303,,Q174193,Q19720
Q52457303,,Q174193,Q4092
Q52457303,,Q174193,
Q52457073,,Q174193,Q158530
Q52457073,,Q174193,
Q52457073,,Q174193,
Q52457073,,Q174193,Q382586
Q52457073,,Q174193,
Q52457073,,Q174193,Q202539
Q52457073,,Q174193,
Q52457073,,Q174193,Q1761
Q52457073,,Q174193,Q16518
Q52457073,,Q174193,
Q52457073,,Q174193,
Q52457073,,Q174193,
Q52457073,,Q174193,Q1020800
Q52457073,,Q174193,Q204577
Q52457073,,Q174193,Q115457
Q52457073,,Q174193,Q7385070
Q52457073,,Q174193,Q382586
Q52457073,,Q174193,Q202539
Q52457073,,Q174193,Q188304
Q52457073,,Q174193,Q1109500
Q52457073,,Q174193,Q15223582
Q52457073,,Q174193,
Q52457073,,Q174193,
Q52457073,,Q174193,Q202539
Q52457073,,Q174193,
Q52457073,,Q174193,
Q52457073,,Q174193,Q1109500
Q52457073,,Q174193,
Q52457073,,Q174193,Q202539
Q52457073,,Q174193,
Q52457073,,Q174193,Q202539
Q52457073,,Q174193,
Q52457073,,Q174193,Q202539
Q52457073,,Q174193,Q204577
Q52457073,,Q174193,
Q52457073,,Q174193,Q886899
Q52457073,,Q174193,
Q52457073,,Q174193,
Q6639162,,Q174193,Q174193
Q6639162,,Q174193,Q174193
Q6639162,,Q174193,
Q6639162,,Q174193,
Q6639162,,Q172771,
Q6639162,,Q172771,Q3308902
Q6639162,,Q17,Q97
Q6639162,,Q30,Q97
Q6639162,,Q172771,Q3308902
Q52457956,,Q174193,Q101254
Q52457956,,Q174193,Q210223
Q52457956,,Q174193,Q101254
Q52457956,,Q174193,Q5468
Q52457956,,Q174193,Q2601506
Q6639235,,Q174193,Q1693
Q6639235,,Q17,Q850388
Q6639235,,Q34266,Q216057
Q6639235,,Q172771,Q3308902
Q6639235,,Q172771,Q3308902
Q6639235,,Q174193,Q174193
Q6639235,,Q172771,Q3308902
Q20311926,,Q172771,Q25535
Q20311926,,Q172771,Q1650
Q20311926,,Q172771,Q26881
Q20311926,,Q172771,Q140265
Q20311926,,Q70972,Q861551
Q20311926,,Q215530,Q258532
Q20311926,,Q172771,
Q20311926,,Q172771,Q4873943
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,Q938699
Q20311926,,Q172771,
Q20311926,,Q172771,
Q20311926,,Q172771,Q204989
Q20311926,,Q172771,
Q20311926,,Q172771,Q23156
Q20311926,,Q172771,Q972113
Q6639182,,Q172771,Q159898
Q6639182,,Q145,Q145
Q6639182,,Q55,
Q6639182,,Q145,Q3012283
Q6639182,,Q7318,Q131716
Q6639182,,Q31,Q855186
Q6639182,,Q172771,
Q6639182,,Q145,
Q6639182,,Q33,
Q6639182,,Q145,Q1616632
Q6639182,,Q145,
Q6639182,Q11707184,Q145,Q23109
Q6639182,,Q172771,Q3059075
Q6639182,,Q41,
Q6639182,,Q145,Q1444194
Q6639182,,Q35,Q1644
Q6639182,,Q145,
Q6639182,,Q79,Q1018010
Q6639182,,Q2705826,
Q6639182,,Q151701,
Q6639182,,Q33,Q144825
Q6639182,,Q151701,Q1446461
Q6639182,,Q145,Q1693
Q17114669,,Q151701,
Q17114669,,Q7318,Q211443
Q17114669,,Q7318,Q211443
Q17114669,,Q11220,Q1169332
Q17114669,,Q151701,Q4027435
Q17114669,,Q7318,Q211443
Q17114669,,Q151701,
Q17114669,,Q151701,Q744967
Q17114669,,Q151701,
Q17114669,,Q151701,
Q17114669,,Q151701,
Q17114669,,Q151701,Q2466103
Q17114669,,Q151701,
Q17114669,,Q7318,Q796754
Q52457117,,Q174193,
Q52457117,,Q1055,Q173270
Q52457117,,Q174193,Q202539
Q52457117,,Q174193,Q210223
Q52457117,,Q174193,Q204577
Q52457117,,Q174193,Q204577
Q52457117,,Q174193,
Q52457117,,Q174193,Q2849195
Q52457117,,Q174193,
Q52457117,,Q35,Q3530435
Q52457117,,Q174193,Q34404
Q52457117,,Q174193,Q34404
Q52457117,,Q174193,Q47134
Q52457117,,Q174193,
Q52457117,,Q174193,Q55613253
Q52457117,,Q174193,Q169923
Q52457117,,Q34266,Q216057
Q52457117,,Q174193,Q143762
Q52457117,,Q174193,Q652101
Q52457117,,Q174193,Q15682
Q52457369,,Q174193,
Q52457369,,Q142,Q42000
Q52457369,,Q174193,
Q52457369,,Q174193,
Q52457369,,Q174193,Q23148
Q52457369,,Q174193,
Q52457369,,Q174193,
Q52457369,,Q174193,Q204577
Q52457369,,Q174193,
Q52457369,,Q174193,Q1335
Q52457369,,Q131964,Q6514
Q52457369,,Q174193,Q815831
Q52457369,,Q174193,Q1653
Q52457369,,Q142,Q210223
Q52457369,,Q174193,Q7198498
Q52457369,,Q174193,
Q52457369,,Q174193,
Q20312005,,Q30,
Q20312005,,Q172771,
Q20312005,,Q172771,
Q20312005,,Q172771,
Q20312005,,Q172771,
Q20312005,,Q30,
Q20312005,,Q172771,
Q20312005,,Q172771,
Q20312005,,Q172771,Q162782
Q20312005,,Q161885,Q5054084
Q20312005,,Q161885,Q97
Q20312005,,Q34,Q14294
Q20312005,,Q172771,
Q20312005,,Q172771,
Q20312005,,Q172771,
Q20312005,,Q172771,
Q20312005,,Q172771,Q1754
Q20312005,,Q1792,Q9676
Q20312005,,Q172771,Q2879616
Q20312005,,Q172771,Q54809
Q20312005,,Q70972,Q14686
Q20312005,,Q172771,Q84
Q20312005,,Q172771,Q97
Q20312005,,Q170072,Q727
Q20312005,,Q172771,Q238752
Q20312005,,Q172771,Q588907
Q20312005,,Q172771,Q760
Q20312005,,Q172771,Q207794
Q20312005,,Q172771,
Q20312005,,Q172771,
Q20312005,,Q172771,
Q20312005,,Q161885,Q1428
Q20312005,,Q172771,
Q20312005,,Q172771,
Q20312005,,Q172771,
Q20312005,,Q172771,
Q20312005,,Q161885,
Q20312005,,Q172771,Q48335
Q20312005,,Q172771,Q242
Q20312005,,Q172771,
Q20312005,,Q172771,
Q20312005,,,
Q20312005,,Q172771,Q244
Q20312005,,Q172771,Q737765
Q20312005,,Q172771,Q429741
Q20312005,,Q172771,
Q20312005,,Q161885,
Q20312005,,Q172771,
Q20312005,,Q161885,
Q20312005,,Q172771,Q1414906
Q20312005,,Q170072,Q25279
Q20312005,,Q161885,
Q20312005,,Q172771,Q487988
Q20312005,,Q161885,Q172771
Q52457575,,Q165154,Q1653
Q52457575,,Q142,Q34640
Q52457575,,Q174193,
Q52457575,,Q174193,Q382586
Q52457575,,Q34266,Q202539
Q52457575,,Q174193,Q382586
Q52457575,,Q174193,Q382586
Q52457575,,Q174193,Q2001966
Q52457575,,Q174193,
Q52457575,,Q174193,Q420303
Q52457575,,Q174193,Q238752
Q52457575,,Q174193,Q316390
Q52457575,,Q174193,Q207794
Q52457575,,Q174193,
Q52457575,,Q1055,Q1563
Q52457575,,Q174193,Q1638096
Q52457575,,Q174193,Q188304
Q52457575,,Q12560,Q233
Q52457575,,Q1063498,Q202539
Q52457575,,Q174193,Q379656
Q52457575,,Q180393,Q202539
Q52457575,,Q174193,Q428829
Q52457575,,Q174193,Q84
Q52457575,,Q174193,
Q52457575,,Q174193,Q211873
Q52457575,,Q174193,
Q52457575,,Q174193,
Q52457575,,Q174193,Q2039931
Q52457575,,Q174193,
Q52457575,,Q174193,Q202539
Q52457575,,Q174193,
Q52457575,,Q142,
Q52457575,,Q1209,Q47716
Q52457575,,Q142,Q3349
Q52457575,,Q174193,Q1570725
Q52457317,,Q34266,Q155863
Q52457317,,Q30,Q973740
Q52457317,,Q174193,
Q6639052,,Q145,Q550995
Q6639052,,Q31,Q37620
Q6639052,,Q17,Q8646
Q6639052,,Q145,Q2860953
Q6639052,,Q713750,Q55
Q6639052,,Q145,Q935570
Q6639052,Q1062366,Q35,Q507747
Q6639052,,Q145,Q935570
Q6639052,,Q663472,
Q6639052,,Q16,
Q6639052,,Q241,
Q6639052,,Q739,Q996581
Q6639052,,Q145,Q134750
Q6639052,,Q145,
Q6639052,,Q804,Q1028
Q6639052,,Q41,Q950908
Q6639052,,Q804,
Q6639052,,Q145,Q1644
Q6639052,,Q145,Q7592509
Q6639052,,Q145,Q2011274
Q6639052,,Q145,Q812
Q6639205,,Q41,
Q6639205,,Q172771,Q1550883
Q6639205,,Q172771,Q3308902
Q52457173,,Q174193,
Q52457173,,Q174193,
Q52457173,,Q174193,Q3068
Q52457173,,Q174193,
Q52457173,,Q174193,Q1426123
Q52457173,,Q1209,Q164079
Q52457173,,Q142,
Q52457173,,Q174193,
Q52457173,,Q174193,Q7618523
Q52457173,,Q174193,Q36405
Q52457173,,Q174193,Q182923
Q52457173,,Q174193,
Q52457173,,Q174193,Q2543086
Q52457173,,Q142,
Q52457173,,Q174193,Q870815
Q52457173,,Q174193,
Q52457173,,Q174193,Q279000
Q52457173,,Q174193,
Q52457173,,Q174193,
Q52457173,,Q174193,
Q52457173,,Q174193,
Q52457173,,Q29,
Q52457173,,Q174193,
Q52457173,,Q174193,
Q52457173,,Q174193,
Q52457173,,Q174193,
Q52457173,,Q174193,
Q52457173,,Q174193,Q7441997
Q52457173,,Q174193,
Q52457173,,,Q162615
Q52457173,,Q174193,Q2143760
Q52457173,,Q174193,Q930204
Q52457173,,Q174193,Q10400
Q52457173,,Q174193,
Q52457173,,Q174193,
Q52457173,,Q174193,Q23240
Q52457173,,Q174193,Q279000
Q52457173,,Q174193,Q265115
Q52457173,,Q174193,Q1320240
Q52457173,,Q174193,
Q52457173,,Q174193,Q1426123
Q52457148,,Q45,Q173699
Q52457148,,Q174193,Q1643555
Q52457148,,Q174193,
Q17001489,,Q20,
Q17001489,,Q34,Q47545
Q17001489,,Q174193,Q34617
Q17001489,,Q30,Q6763977
Q17001489,,Q172771,Q3308902
Q17001489,,Q174193,Q1109500
Q17001489,,Q174193,
Q17001489,,Q35,
Q17001489,,Q34,Q1693
Q17001489,,Q174193,Q3235968
Q17001489,,Q172771,Q3308902
Q17001489,,Q174193,Q1109500
Q17001489,,Q172579,
Q6639060,,Q16,
Q6639060,,Q15180,Q1026874
Q6639060,,Q1014,
Q6639060,,,Q8740
Q6639060,,Q16,Q1693101
Q6639060,,Q1014,Q2141
Q6639060,,Q822,Q593485
Q6639060,,Q713750,Q25263
Q6639060,Q7393540,Q804,Q766445
Q6639060,,Q884,
Q6639060,,Q382551,Q49077
Q6639060,,Q1774,Q1960
Q6639060,,Q16,Q374857
Q6639060,,Q298,Q48365
Q6639060,Q28455846,Q16,Q864688
Q6639060,,Q16,Q181857
Q6639060,,Q38,Q481758
Q6639060,,Q145,
Q6639060,,Q8646,Q191914
Q6639060,,Q884,
Q6639060,,Q1014,Q23298
Q6639060,,Q16,
Q6639060,,Q145,Q939032
Q6639060,,Q884,
Q6638943,,Q30,Q7439101
Q6638943,,Q174193,
Q52456837,,Q174193,Q2601506
Q52456837,,Q174193,
Q52456837,,Q174193,Q2001966
Q52456837,,Q174193,Q2601506
Q52456837,,Q29,
Q52456837,,Q20,Q48701
Q52456837,,Q174193,
Q52456837,,Q174193,
Q52456837,,Q30,Q128323
Q15242479,,,
Q15242479,,Q174193,
Q15242479,,Q35,Q202539
Q15242479,,,
Q15242479,,Q30,
Q15242479,,Q174193,Q1152175
Q15242479,,Q174193,Q393854
Q15242479,,Q174193,Q26253
Q15242479,,Q174193,Q162782
Q15242479,,Q142,Q202539
Q15242479,,Q188553,Q208259
Q15242479,,Q174193,
Q15242479,,Q30,
Q15242479,,Q1792,Q545
Q15242479,,Q174193,Q683719
Q15242479,,Q174193,Q216845
Q15242479,,Q174193,Q216845
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,Q174193,Q1011096
Q15242479,,Q174193,
Q15242479,,Q34,Q25287
Q15242479,,,Q44133
Q15242479,,Q27306,
Q15242479,,Q174193,Q102158
Q15242479,,Q174193,
Q15242479,,Q174193,Q1027830
Q15242479,,Q174193,Q1770
Q15242479,,Q174193,Q545
Q15242479,,Q2843,
Q15242479,,Q2843,Q2452365
Q15242479,,Q34,Q239276
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,Q174193,Q36647
Q15242479,,Q142,Q1967845
Q15242479,,Q174193,Q504678
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,Q174193,Q188489
Q15242479,,Q174193,
Q15242479,,Q174193,Q185111
Q15242479,,Q188553,Q25279
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,Q174193,Q1021568
Q15242479,,Q174193,Q202539
Q15242479,,Q174193,
Q15242479,,Q174193,Q128323
Q15242479,,Q142,Q861551
Q15242479,,Q174193,Q1770351
Q15242479,,Q45,Q165100
Q15242479,,Q174193,
Q15242479,,Q174193,Q545
Q15242479,,Q174193,Q769
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,Q174193,Q685357
Q15242479,,Q29,Q10701282
Q15242479,,Q27306,Q4174
Q15242479,,Q174193,Q142
Q15242479,,Q174193,
Q15242479,,Q174193,Q174193
Q15242479,,Q174193,
Q15242479,,Q174193,Q515105
Q15242479,,Q174193,Q1761
Q15242479,,Q174193,Q15682
Q15242479,,Q174193,Q84
Q15242479,,Q174193,Q36647
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,Q174193,Q150106
Q15242479,,Q174193,Q22890
Q15242479,,Q174193,
Q15242479,,Q174193,Q23240
Q15242479,,Q174193,
Q15242479,,Q174193,Q597
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,Q188553,Q501768
Q15242479,,Q174193,
Q15242479,,Q34266,Q1693
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,,Q1046122
Q15242479,,Q174193,Q279000
Q15242479,,Q174193,Q210223
Q15242479,,Q174193,Q133315
Q15242479,,Q174193,Q162615
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,Q174193,Q1424908
Q15242479,,Q174193,Q209126
Q15242479,,Q174193,
Q15242479,,Q35,
Q15242479,,Q174193,
Q15242479,,Q188553,
Q15242479,,Q174193,
Q15242479,,Q174193,Q209126
Q15242479,,Q188553,Q770776
Q15242479,,Q174193,Q1761
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,Q174193,Q1370
Q15242479,,Q30,Q1581130
Q15242479,,Q174193,Q202539
Q15242479,,Q1028,Q210223
Q15242479,,Q30,Q204577
Q15242479,,Q29,
Q15242479,,Q174193,Q184599
Q15242479,,Q174193,Q209126
Q15242479,,Q142,Q37620
Q15242479,,Q174193,
Q15242479,,Q45,Q173699
Q15242479,,Q174193,Q3395428
Q15242479,,Q45,Q2088324
Q15242479,,Q174193,
Q15242479,,Q174193,Q244
Q15242479,,Q174193,Q203349
Q15242479,,Q30,Q958530
Q15242479,,Q174193,Q1761
Q15242479,,Q174193,Q1650
Q15242479,,Q174193,Q47716
Q15242479,,Q1055,Q2148926
Q15242479,,Q174193,
Q15242479,,Q174193,Q189912
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,Q5633825,Q172771,Q928235
Q15242479,,Q174193,Q550995
Q15242479,Q33129373,Q174193,
Q15242479,,Q45,Q597
Q15242479,,Q30,Q100
Q15242479,,Q35,
Q15242479,,Q659312,Q1449
Q15242479,,Q29,Q202539
Q15242479,,Q174193,
Q15242479,,Q174193,
Q15242479,,Q659312,
Q15242479,,Q30,
Q15242479,,Q29,
Q15242479,,Q29,Q210223
Q15242479,,Q174193,
Q15242479,,Q29,Q7415133
Q15242479,,Q174193,Q1425428
Q15242479,,Q29,
Q15242479,,Q174193,
Q15242479,,Q30,
Q6639025,,Q145,Q1356184
Q6639025,,Q7318,Q5407343
Q6639025,,Q30,
Q6639025,,Q142,
Q6639025,,Q145,Q59100
Q6639025,,Q676404,Q10859
Q6639025,,Q676404,Q10859
Q6639025,,Q55,Q643313
Q6639025,,Q676404,Q10859
Q6639025,,Q20,Q643081
Q6639025,,Q41,Q568218
Q6639025,,Q20,Q6988219
Q6639025,,Q188712,Q1410310
Q6639025,,Q188712,Q11645357
Q6639025,,Q30,Q3476563
Q6639025,,Q96,
Q6639025,,Q30,Q34404
Q6639025,,Q41,Q127892
Q6639025,,Q155,
Q6639025,,Q676404,Q10859
Q6639025,,Q41,Q7128573
Q6639025,,Q145,
Q6639025,,Q145,Q1563436
Q6639025,,Q55,Q1034489
Q6639025,,Q172579,Q10859
Q6639025,,Q41,Q10859
Q6639025,,Q7318,
Q6639025,,Q151701,Q698126
Q6639025,,Q13426199,Q5413
Q6639025,,Q7573286,Q10859
Q6639025,,Q142,Q457242
Q6639025,,Q145,Q3224
Q6639025,,Q7318,Q727
Q6639025,,Q30,Q28218
Q6639025,,Q36,Q1196
Q6639025,,Q33,Q1777403
Q6639025,,Q188712,Q696840
Q6639025,,Q145,Q38610
Q6639025,,Q188712,Q1357346
Q6639025,,Q41,Q41
Q6639025,,Q702116,Q170314
Q6639025,,Q13426199,Q5413
Q6639025,,Q145,
Q6639025,Q165142,Q7318,Q35827
Q6639025,,Q188712,Q496448
Q6639025,,Q145,Q6673878
Q6639025,,Q145,Q1066
Q6639025,,Q145,
Q6639025,,Q7318,Q951302
Q6639025,,Q702116,Q170314
Q6639025,,Q20,Q1974
Q6639025,,Q35,Q2196757
Q6639025,,Q790,Q2009853
Q6639025,,Q34,Q7318
Q6639025,,Q145,Q37660
Q6639025,,Q172579,Q178488
Q6639025,,Q145,Q5210864
Q6639025,,Q145,Q10859
Q6639025,,Q7318,Q995929
Q6639025,,Q172579,
Q6639025,,Q145,Q889394
Q6639025,,Q20,Q26793
Q6639025,,Q33,Q5689
Q6639025,,Q145,Q778403
Q6639025,,Q45,Q36433
Q6639025,Q7393666,Q145,Q2937107
Q6639025,,Q145,Q208727
Q6639025,,Q145,Q372090
Q6639025,,Q702116,Q170314
Q6639025,,Q145,Q173699
Q6639025,,Q145,Q5940731
Q6639025,,Q188712,Q854
Q6639025,,Q33,Q5689
Q6639025,,Q30,Q502023
Q6639025,,Q145,Q36405
Q6639025,,Q55,Q97
Q6639025,,Q30,Q2936092
Q6639025,,Q145,Q2683611
Q6639025,,Q142,
Q6639025,,Q145,Q3206
Q6639025,,Q145,Q97
Q6639025,,Q7318,Q746839
Q6639025,,Q145,Q2879752
Q6639025,,Q804,
Q6639025,,Q145,Q1547306
Q6639025,,Q145,Q209537
Q6639025,,Q43,
Q6639025,,Q41,
Q6639025,,Q7318,Q145
Q6639025,,Q7318,Q25082
Q6639025,,Q145,Q762752
Q6639025,,Q145,Q2415
Q6639025,,Q35,Q769680
Q6639025,,Q188712,Q191914
Q6639025,,Q676404,Q10859
Q6639025,,Q676404,Q10859
Q6639025,,Q30,Q996786
Q6639025,,Q41,Q1735552
Q6639025,,Q188712,Q328601
Q6639025,,Q145,Q41735
Q6639025,,Q188712,
Q6639025,,Q188712,
Q6639025,,Q145,Q841491
Q6639025,,Q676404,Q10859
Q6639025,,Q676404,Q10859
Q6639025,,Q35,Q47716
Q6639025,,Q414,Q414
Q6639025,,Q29,Q12233
Q6639025,,Q30,Q138311
Q6639025,,Q145,Q2369538
Q6639025,,Q35,Q1547306
Q6639025,,Q145,Q1536377
Q6639025,,Q41,Q199712
Q6639025,Q16222658,Q41,Q203979
Q6639025,,Q7318,Q241631
Q6639025,,Q41,Q35827
Q6639025,,Q145,Q3389
Q6639025,,Q7318,Q1650
Q52457706,,Q174193,Q1765455
Q52457706,,Q174193,Q1765455
Q52457706,,Q174193,
Q52457706,,Q174193,Q234178
Q52457706,,Q174193,Q1247390
Q52457706,,Q174193,Q911875
Q52457706,,Q174193,Q129610
Q52457706,,Q174193,Q1377930
Q52457706,,Q174193,Q506284
Q52457706,,Q174193,
Q52457706,,Q174193,
Q52457706,,Q174193,
Q52457706,,Q174193,
Q6638981,,Q174193,Q8692
Q6638981,Q7873410,Q30,
Q6638981,,Q174193,Q943931
Q6638981,,Q142,Q478029
Q6638981,,Q29,
Q17007493,Q42896533,Q174193,Q1199713
Q17007493,,Q174193,
Q17007493,,Q174193,Q7996785
Q17007493,,Q174193,Q210223
Q17007493,,Q142,
Q17007493,,Q174193,Q24879
Q17007493,,Q174193,Q97
Q17007493,,Q20,Q1693
Q17007493,,Q174193,Q194205
Q17007493,,Q174193,Q143762
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q174193,Q19720
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q165154,Q1335
Q17007493,,Q174193,Q143762
Q17007493,,Q174193,Q515022
Q17007493,,Q174193,Q7543693
Q17007493,,Q174193,
Q17007493,,Q174193,Q1860233
Q17007493,,Q174193,Q515022
Q17007493,,Q174193,Q1012502
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q174193,Q2001027
Q17007493,,Q164079,
Q17007493,,Q174193,Q7998670
Q17007493,,Q174193,Q34404
Q17007493,,Q174193,Q1426232
Q17007493,,Q174193,Q201694
Q17007493,,Q174193,Q210223
Q17007493,,Q174193,Q1695
Q17007493,,Q174193,
Q17007493,,Q174193,Q778
Q17007493,,Q174193,Q1235872
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q174193,Q7998670
Q17007493,,Q174193,Q1121471
Q17007493,,Q174193,
Q17007493,,Q174193,Q1059646
Q17007493,,Q174193,Q19724
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q174193,Q1012390
Q17007493,,Q174193,
Q17007493,,Q4065,Q26793
Q17007493,,Q174193,
Q17007493,,Q174193,Q170173
Q17007493,,Q174193,Q97
Q17007493,,Q34,Q1631174
Q17007493,,,Q546
Q17007493,,Q142,Q244347
Q17007493,,Q174193,
Q17007493,,Q20,Q1630
Q17007493,,Q174193,Q1055
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q174193,Q1693
Q17007493,,Q174193,Q1755020
Q17007493,,Q174193,
Q17007493,,Q30,
Q17007493,,Q45,
Q17007493,,Q30,
Q17007493,,Q174193,Q1761
Q17007493,,Q174193,
Q17007493,,Q174193,Q1017331
Q17007493,,Q174193,Q1693
Q17007493,,Q174193,Q188203
Q17007493,,Q164079,Q23240
Q17007493,,Q174193,
Q17007493,,Q174193,Q41735
Q17007493,,Q174193,Q2021141
Q17007493,,Q174193,Q273
Q17007493,,Q174193,Q211091
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q174193,Q11792999
Q17007493,,Q174193,Q6696423
Q17007493,,Q142,
Q17007493,,Q174193,Q1335
Q17007493,,Q174193,
Q17007493,,Q174193,Q810807
Q17007493,,Q174193,Q26503
Q17007493,,Q174193,Q48335
Q17007493,,Q174193,
Q17007493,,Q174193,Q778
Q17007493,,Q174193,Q2879675
Q17007493,,Q174193,
Q17007493,,Q174193,Q973740
Q17007493,,Q174193,Q181857
Q17007493,,Q174193,Q1027
Q17007493,,Q174193,
Q17007493,,Q174193,Q204577
Q17007493,,Q142,Q1497
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q174193,Q188304
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q174193,Q178283
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q174193,Q1137202
Q17007493,,Q174193,
Q17007493,,Q174193,
Q17007493,,Q174193,Q209126
Q17007493,,Q174193,
Q17007493,,Q30,Q1410
Q17007493,,Q174193,
Q17007493,Q22293724,Q174193,Q179188
Q17007493,,Q174193,Q760
Q17007493,,Q174193,Q6773224
Q17007493,,Q2001966,Q31945
Q17007493,,Q414,
Q17007493,,Q174193,Q12233
Q17007493,,Q174193,Q26253
Q17007493,,Q174193,Q172216
Q17007493,,Q174193,Q128323
Q20311912,,Q215530,Q183551
Q20311912,,Q172771,Q1247
Q20311912,,Q172771,Q251668
Q20311912,,Q215530,Q937070
Q20311912,,Q172771,
Q20311912,,Q172771,
Q20311912,,Q34,
Q20311912,,Q45,
Q20311912,,Q45,
Q20311912,,Q172771,
Q20311912,,Q172771,
Q20311912,,Q172771,
Q20311912,,Q172771,Q36433
Q20311912,,Q172771,
Q20311912,,Q172771,
Q20311912,,Q172771,
Q17001656,,Q804,Q174684
Q17001656,,Q974,Q5511
Q17001656,,Q804,Q504690
Q17001656,,Q805,Q1517159
Q17001656,,Q424,Q1347560
Q17001656,,Q117,Q726143
Q17001656,,Q465283,Q15920546
Q17001656,,,Q805
Q17001656,Q1977994,Q30,Q119196
Q17001656,,Q760,Q757
Q17001656,,,Q805
Q17001656,,Q881,Q826
Q17001656,,,Q206975
Q17001656,,Q17,Q15276
Q17001656,,Q252,Q7564
Q17001656,,Q159,Q626
Q17001656,,Q20,Q938548
Q17001656,,Q924,Q3718
Q17001656,,Q252,
Q17001656,,Q298,Q473932
Q17001656,,,
Q17001656,,Q252,Q8646
Q17001656,,Q424,Q45341
Q17001656,,Q804,Q3389
Q17001656,,Q217,
Q17001656,,Q148,Q45341
Q17001656,,Q159,Q26261352
Q17001656,,Q55,Q3857
Q17001656,,Q928,Q25653
Q52457023,,Q174193,Q190002
Q52457023,,Q174193,Q111509
Q52457023,,Q174193,Q1693
Q52457023,,Q174193,Q23079
Q52457023,,Q142,Q4197
Q52457023,,Q30,Q100
Q52457023,,Q174193,Q23240
Q52457023,,Q174193,Q1016292
Q52457023,,Q30,Q49201
Q52457023,,Q174193,Q203403
Q52457023,,Q174193,Q1055
Q52457023,,Q174193,Q10690
Q52457023,,Q174193,Q35958
Q52457023,,Q27306,Q776965
Q52457023,,Q174193,
Q52457023,,Q174193,Q531909
Q52457023,,Q174193,Q204577
Q52457023,,Q174193,Q204577
Q52457023,,Q174193,
Q52457023,,Q174193,
Q52457023,,Q34266,
Q52457499,,Q142,Q18438
Q52457499,,Q174193,
Q52457499,,Q174193,
Q52457499,,Q174193,
Q52457499,,Q174193,
Q52457499,,Q174193,
Q52457499,,Q174193,
Q52457499,,Q174193,
Q52457499,,Q174193,Q1017331
Q52457499,,Q174193,Q36405
Q52457499,,Q174193,Q188304
Q52457499,,Q174193,Q23109
Q6639204,,Q172771,Q3308902
Q6639204,,Q30,Q79533
Q6639204,,Q172579,
Q6639204,,Q142,Q361
Q6639204,,Q30,
Q6639204,,Q172579,
Q6639204,,,
Q6639204,,Q172579,
Q6639204,,Q172579,
Q6639204,,Q35,Q204577
Q6639204,,Q172771,Q3308902
Q6639258,,Q172771,Q1169332
Q6639258,,Q172771,Q3738460
Q52457065,,Q174193,
Q52457065,,Q174193,
Q52457065,,Q174193,Q478029
Q52457065,,Q174193,
Q52457065,,Q174193,Q384721
Q52457065,,Q174193,
Q52457065,,Q15864,
Q52457065,,Q174193,Q129610
Q52457065,,Q174193,Q2486348
Q52457065,,Q174193,Q1693
Q52457653,,Q174193,
Q52457653,,Q174193,Q162475
Q52457653,,Q174193,Q166
Q52457653,,Q174193,Q183551
Q52457653,,Q174193,Q913793
Q52457653,,Q174193,
Q52457653,,Q174193,
Q52457653,,Q174193,
Q52457653,,Q174193,Q1581130
Q52457653,,Q174193,Q661619
Q52457653,,Q174193,Q420303
Q52457653,,Q174193,
Q17001282,,Q174193,
Q17001282,,Q174193,Q134750
Q17001282,,Q45,
Q17001282,,Q30,Q917809
Q17001282,,Q174193,Q967166
Q17001282,,Q174193,Q1644
Q17001282,,Q173065,
Q17001282,,Q174193,Q1693
